Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,price,1h_pct,24h_pct,7d_pct,30d_pct,volume,market_cap,supply,is_stablecoin,cap_tier,vol_mcap_ratio,is_high_liq_flag,is_return_outlier
693,Metahero,HERO, $-   ,-1.00%,-19.30%,-16.70%,20.30%,"$1,851,768.00 ","7,866,213,223",9.77 Billion,"$23,476,750.00 ",,-1.0,-19.3,-16.7,20.3,1851768.0,23476750.0,7866213223.0,False,Small,0.07887667586015952,False,False
694,Opulous,OPUL,0.09,-0.50%,-2.30%,7.40%,80.40%,"$932,659.00 ","259,282,432",500 Million,"$23,442,115.00 ",0.09,-0.5,-2.3,7.4,80.4,932659.0,23442115.0,259282432.0,False,Small,0.039785616613518024,False,False
695,Hegic,HEGIC,0.02,4.80%,31.90%,35.20%,67.90%,"$589,456.00 ","1,077,684,725",1.08 Billion,"$23,256,825.00 ",0.02,4.8,31.9,35.2,67.9,589456.0,23256825.0,1077684725.0,False,Small,0.025345506104122124,False,False
696,Lybra,LBR,1.24,-0.60%,6.30%,-14.10%,31.30%,"$2,044,864.00 ","18,808,594",45.4 Million,"$23,188,157.00 ",1.24,-0.6,6.3,-14.1,31.3,2044864.0,23188157.0,18808594.0,False,Small,0.08818570617751122,False,False
697,Poollotto.finance,PLT,1.55,-0.10%,-10.00%,5.90%,-9.80%,"$1,658.00 ","14,969,975",19.3 Million,"$23,157,465.00 ",1.55,-0.1,-10.0,5.9,-9.8,1658.0,23157465.0,14969975.0,False,Small,7.159678315394194e-05,False,False
698,Camelot Token,GRAIL,"1,435.54",0.00%,-3.00%,-15.00%,101.30%,"$1,379,111.00 ","16,030",74.8 Thousand,"$23,100,070.00 ",1435.54,0.0,-3.0,-15.0,101.3,1379111.0,23100070.0,16030.0,False,Small,0.05970159397785375,False,False
699,AirDAO,AMB,0.01,0.70%,-6.50%,-15.30%,-11.60%,"$3,210,491.00 ","3,072,310,854",6.5 Billion,"$23,099,267.00 ",0.01,0.7,-6.5,-15.3,-11.6,3210491.0,23099267.0,3072310854.0,False,Small,0.1389867046430521,False,False
700,Across Protocol,ACX,0.08,0.10%,7.00%,24.70%,72.40%,"$349,135.00 ","284,763,336",1 Billion,"$23,096,124.00 ",0.08,0.1,7.0,24.7,72.4,349135.0,23096124.0,284763336.0,False,Small,0.015116605712716126,False,False
701,Vyvo Smart Chain,VSC,0.01,0.20%,0.30%,-1.00%,3.50%,"$608,645.00 ","1,876,030,845",20 Billion,"$23,046,355.00 ",0.01,0.2,0.3,-1.0,3.5,608645.0,23046355.0,1876030845.0,False,Small,0.02640959926200911,False,False
702,Carbon Browser,CSIX,0.08,-1.10%,-9.00%,59.60%,283.80%,"$7,680,523.00 ","288,257,906",1 Billion,"$22,970,181.00 ",0.08,-1.1,-9.0,59.6,283.8,7680523.0,22970181.0,288257906.0,False,Small,0.33436928511795355,False,False
703,RFOX,RFOX,0.01,-0.30%,1.00%,-9.60%,21.90%,"$238,537.00 ","1,844,906,338",1.99 Billion,"$22,862,438.00 ",0.01,-0.3,1.0,-9.6,21.9,238537.0,22862438.0,1844906338.0,False,Small,0.010433576681542012,False,False
704,flexUSD,FLEXUSD,0.14,0.70%,-4.10%,-7.50%,-5.10%,$4.43 ,"166,350,245",166 Million,"$22,550,708.00 ",0.14,0.7,-4.1,-7.5,-5.1,4.43,22550708.0,166350245.0,False,Small,1.9644616036002062e-07,False,False
705,Onyxcoin,XCN, $-   ,0.60%,-1.50%,-3.40%,14.80%,"$2,143,295.00 ","26,673,778,543",48.5 Billion,"$22,408,012.00 ",,0.6,-1.5,-3.4,14.8,2143295.0,22408012.0,26673778543.0,False,Small,0.09564860104501907,False,False
706,Optimus AI,OPTI,0.22,-0.60%,12.60%,19.00%,131.40%,"$450,026.00 ","100,000,000",100 Million,"$22,385,276.00 ",0.22,-0.6,12.6,19.0,131.4,450026.0,22385276.0,100000000.0,False,Small,0.020103660995736662,False,False
707,Mango,MNGO,0.02,0.30%,0.10%,-18.60%,17.00%,"$145,546.00 ","1,155,193,312",5 Billion,"$22,363,501.00 ",0.02,0.3,0.1,-18.6,17.0,145546.0,22363501.0,1155193312.0,False,Small,0.006508193864636847,False,False
708,Platypus USD,USP,0.50,-,-,-,-, - ,"65,437,889",65.4 Million,"$32,870,940.00 ",0.5,,,,,,32870940.0,65437889.0,False,Small,,False,False
709,Tranchess,CHESS,0.16,1.10%,-6.80%,0.10%,29.60%,"$12,083,419.00 ","138,869,649",300 Million,"$22,162,398.00 ",0.16,1.1,-6.8,0.1,29.6,12083419.0,22162398.0,138869649.0,False,Small,0.5452216407267841,True,False
710,GXChain,GXC,0.29,-0.10%,-5.10%,-5.30%,0.10%,"$1,230.00 ","75,000,000",100 Million,"$22,057,614.00 ",0.29,-0.1,-5.1,-5.3,0.1,1230.0,22057614.0,75000000.0,False,Small,5.5763057599974325e-05,False,False
